"","years","rmodel","SSBmed","SSBmin","SSBmax","Rmed","Rmin","Rmax","Fmed","Fmin","Fmax","Cmed","Cmin","Cmax"
"97",2025,"env_EM_OM1",117837.470277673,96397.4736344065,196289.971292698,3352623.84886765,1051489.33500261,9287926.45859607,0.247019984184588,0.208651812597734,0.313326075503777,29145.2003939517,21052.9674197841,48076.9864833303
"98",2025,"no_env_EM_OM2",138606.855231734,101885.958991816,230103.386605396,3996127.47058175,964557.278101031,17370035.756829,0.253154331123436,0.206005053521966,0.339321205355114,32913.0493333179,21611.1931692839,70027.7846988154
"99",2026,"env_EM_OM1",126316.431981213,82730.7392668355,193819.025581845,2789471.05654051,1059684.13629382,17326838.3427022,0.251962354464902,0.206455126827984,0.338189811158899,29387.1910892169,18799.8912920327,55110.0891029156
"100",2026,"no_env_EM_OM2",135651.453038844,89522.4868565036,237606.328354428,3628390.85755481,1150695.34489121,11021835.871769,0.260821058276461,0.201097499896057,0.332772146178535,33294.406256365,20054.7521216982,63584.5934937044
"101",2027,"env_EM_OM1",128271.7525609,80209.88102002,207049.134527766,3235247.26322276,857301.906993177,11247897.0515732,0.260802485153767,0.211829455647949,0.35089061477352,33883.3504074141,19304.5860522671,57405.8886620934
"102",2027,"no_env_EM_OM2",145954.921473354,86072.0957524805,307466.880627576,3885560.62382994,1306346.14878224,16050203.9380474,0.268236883891795,0.207725334638815,0.360180767264032,37701.5514877136,20794.374246658,80194.6440986021
"103",2028,"env_EM_OM1",123056.789577965,83627.9445430905,247449.982769715,3474462.32349889,1206005.51378828,10277289.725975,0.260500271029505,0.215530617041565,0.36035741192872,32094.4532286953,18310.0527588012,67802.751837171
"104",2028,"no_env_EM_OM2",156764.491428379,83171.8754999402,269025.042361472,3389457.87948487,1141090.25939786,16264928.4060695,0.25562830551762,0.207024862126683,0.33274141443762,38672.051915168,18658.7977409427,70986.4197376908
"105",2029,"env_EM_OM1",125458.740772854,79237.4038969254,251835.072910736,3560588.38589224,1090192.21252551,12223937.3484432,0.26794547039436,0.204447753240496,0.356568299101721,29464.6786646922,18870.3667927204,62700.5647646606
"106",2029,"no_env_EM_OM2",157568.996561112,84201.7875261076,287419.523065953,3738638.3734534,1107968.81877721,11408230.5055525,0.26574348470848,0.20869435677774,0.337544699852525,37065.2261976269,21785.7181619186,77423.2356720736
"107",2030,"env_EM_OM1",120870.594214448,82493.0135946115,251691.037495146,2822300.06128284,944041.629435909,9623002.40166799,0.272049388144859,0.210524247769133,0.348852335558245,29181.4893475071,19214.3816104255,68081.4570746046
"108",2030,"no_env_EM_OM2",158282.278127605,89264.0256139622,289340.797030592,3511003.20167105,1226692.66331104,11526170.5462059,0.259212670474467,0.206343522418069,0.340101129288165,38755.4883285615,21647.1815962564,79024.9832830722
